id,title,price,link,image_link
A16e,Classic Day Cream Complex,109.99 USD,https://www.premierdeadsea-usa.com/en/day-cream-complex,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61c84f9b3bcc2_A16e.jpg
K30n,Biox Ultra Thermal Beauty Experience Mask,699.99 USD,https://www.premierdeadsea-usa.com/en/biox-ultra-thermal-beauty-experience-mask,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/619649836e6d1_K30__100ml_548x730.jpg
K31n,Biox Ultra Intensive Age - Defying Cream - Age Treatment Complex,599.99 USD,https://www.premierdeadsea-usa.com/en/biox-ultra-intensive-age-defying-cream--age-treatment-complex,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61964a5f2ad91_K31_548x730.jpg
B101,Beautifying Luxury Nail Kit - Milk & Honey,59.99 USD,https://www.premierdeadsea-usa.com/en/beutifying-big-nail-kit,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61c86fb0a275f_B101.jpg
B101b,Beautifying Luxury Nail Kit - Passion Fruit,59.99 USD,https://www.premierdeadsea-usa.com/en/beautifying-big-nail-kit-passion-fruit,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/6040d4b50c0d7_B101.jpg
B101c,Beautifying Luxury Nail Kit - Herbal,59.99 USD,https://www.premierdeadsea-usa.com/en/beautifying-big-nail-kit-herbal,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61cab85e82a52_B101.jpg
B10e,Hair Loss Preventive Care Shampoo,29.99 USD,https://www.premierdeadsea-usa.com/en/hair-loss-preventive-care-shampoo,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146dfa302284_B10.jpg
B130,Classic Moisturizing Travel Gift Set,69.99 USD,https://www.premierdeadsea-usa.com/en/moisturizing-travel-gift-set,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/602bc7e8073ae_B130.jpg
B136,Classic Luxury Men'S Care Kit,99.99 USD,https://www.premierdeadsea-usa.com/en/classic-luxury-men-s-care-kit,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/60570fcd905bf_B136.jpg
B137,Classic Best Of The Basics Men'S Care Kit,139.99 USD,https://www.premierdeadsea-usa.com/en/best-of-the-basics-menas-care-kit,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61b5fd3b9c2fd_B137.jpg
B153,Classic Para Pharmaceutical Aromatic Gift Set,99.99 USD,https://www.premierdeadsea-usa.com/en/aromatic-gift-set,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/602bc809ca96b_B153.jpg
B159,Classic Dead Sea Luxury Skin Care Collection - Hand & Foot,39.99 USD,https://www.premierdeadsea-usa.com/en/skin-care-collection-hand-and-foot,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/602bc81d0692e_B159.jpg
B160,Classic Dead Sea Luxury Skin Care Collection - Moisturize & Hand,39.99 USD,https://www.premierdeadsea-usa.com/en/dead-sea-luxury-skin-care-collection-moisturize-hand,https://www.premierdeadsea-usa.com/pub/media/catalog/product/c/l/classic_dead_sea_luxury_skin_care_collection_-_moisturize_hand_christmas_1.jpg
