id,copy1,copy2,ref
111,"""Livia has been incredible for reducing my pms cramps 
","and allowing me to live my best life""",(Trikcia R.)
112,"""Livia is just the best remedy for menstrual pains""",,(Trikcia R.)
113,"""Thanks to Livia now I can have a life while on my period,
","I don't get stopped by the pain becuase it is simply gone""",(GBC)
114,"""Livia is small, discrete, easy to work, and for the first time
","I went to work and was able to do everything I needed""",(Tiffany H.)
115,"""This device has been really helpful during painful period days. 
","I wasn’t expecting but it honestly does.""",(Bri B.)
116,"""Livia has helped me be able to enjoy my days again
","and no longer miss out on work""",(Brianne M.)
117,"""Livia gave me my freedom and life back""",,(Lea T.)
118,"""I’ve struggled with cramps for so long and 
","my Livia helps me live a pain free life""",(Chantel S.)
119,"""Livia is a Lifesaver!""",,(Sarah A.)
120,"Works like a charm! Livia is the best purchase 
","I have ever made!""",(Angela S)
121,"""Without livia, i can not go outside my door when i have cramps.
","Now i can live a normal life again.""",(Kevin M)
122,"""I highly recommend if you struggle with cramps 
","due to menstruation or medical reasons.""",(Kylee S.)
123,"""It actually works! It dramatically decreased
","the pain to where I could barely feel it.""",(Abby M.)
124,"""Game Changer!  Livia is amazing because
 it is simple & discreet.""","it is simple & discreet.""",(Alyssa P.)
125,"""Livia is great for endometriosis""",,(Heather G.)
211,"""This product actually works 
","and I only pay $8 a month for the device itself""",(Myla A.)
212,"""It's worth avery penny I have ever spent""",,(Sharon B)
213,"""Saves me the time and hassle of going 
","to the pharmacy and doing a better Job !""",(Johanna W.)
214,"""It works! So worth every penny. Life changer.""""
",,(ZH)
215,"""They have a great loyalty program
","that really works for me""",(Amanda R.)
311,"""It's easy and fast to handle with! """"
",,(Rona D)
312,"""Fast shipping and great delivery""",,(Rachel L.)
313,"""Livia is a great company. They've been reliable
","& have replaced parts for me.I'm a loyal customer.""",(Amanda S.)
314,"""Livia respects refund policy and their trial period""",,(Paris N.)
315,"""Livia stands behaind their firm product guarantee!""",,(Jane W.)
411,"""Professional and loyal services !""",,(Rona D.)
412,"""Company has been great with deliveries 
","and customer service in the 4 years I've used them.""",(Tasha C.)
413,"""Livia has helped take that pain away when i needed it the most
","I am thankful for this company it has helped me out tremendously!!""",(Gabrielle N.)
414,"""The company is so awesome, they offer so many promo items
","based on if you like it, good PR etc! I love Livia! changed my life forever! :)""",(Karabiner B.)
415,"""Great customer service and respectable product  guarantee """,,(Lior A.)
416," ""Every time I contacting their Customer Service 
","they reply immediately in timely manner""",(Amanda R.)
511,"STUDIES SHOW THAT 32% OF WOMEN REPORTED THAT THE INSTRUMENT 
",RELIEVES PAIN SIGNIFICANTLY FASTER THAN COMMON MEDICATIONS.,(Prof. B.Kaplin; Gynecological Ward )
512,"STUDIES SHOW THAT LIVIA'S DEVICE RELIEVES 
",MENSTRUAL PAIN FOR 86% OF THE WOMEN TESTED.,(Prof. B.Kaplin; Gynecological Ward )
513,"STUDIES SHOW THAT THE USE OF LIVIA REDUCED BY AN 
",AVERAGE OF 28.1 POINTS THE PERCEIVED LEVEL OF PAIN,(Technostat - ii)
611,"JOIN OUR THOUSANDS OF 
",HAPPY WOMEN AROUND THE GLOBE!,
612,"JOIN OUR FIVE STARS RATINGS 
",AMAZING DEVICE!,
613,"YOU CAN ALSO BECOME ONE 
",OF THOUSANDS OF HAPPY CUSTOMERS!,
614,"JOIN OUR LIVIA FAMILY !
",THOUSANDS HAVE ALREADY DID,
615,2 CLICKS AWAY FROM REDUCING YOUR PAIN!,,
616,SEE WHAT EVERYONE IS BUZZING ABOUT!,,
711,"SAVE TIME AND PAIN
",JOIN LIVIA TODAY!,
712,"SAVE PAIN AND FUNDS!
",JOIN LIVIA TODAY,
713,"SWITCH OFF PAIN!
",SAVE OFF TIME AND MONEY!,
714,"BECOME OUR MEMBERS 
",AND SAVE PRECIOUS TIME AND FUNDS!,
715,"BUY NOW AND SAVE %XX 
",LIMITED TIME OFFER !,
716,"DISCOVER WHAT EVERYONE IS TALKING ABOUT 
",DISCOVER LIVIA!,
717,"HAVE YOU ALRADY HEARD ABOUT OUR CLUB??
",JOIN NOW TO SAVE PRECIOUS TIME AND FUNDS,
811,"LET US GUIDE YOU
",READ MORE ABOUT LIVIA,
812,"WE ARE HERE FOR YOU 
",!MEET LIVIA,
813,"WE WILL ALWAYS BE HERE FOR YOU TO 
",SERVE OUR CUSTOMERS,
814,"SEE WHY WE HAVE SO MANY
",LOYAL CUSTOMERS!,
815,"LET US GUIDE YOU WITH OUR
 INTUITIVE AND MOST SECURED WEBSITE",INTUITIVE AND MOST SECURED WEBSITE,
